month,date,yoy_num,yoy_vol
72,2006-01,0.658056777289084,0.761351069663165
73,2006-02,0.496727019498607,0.622004122097621
74,2006-03,0.480180632212745,0.578512006586357
75,2006-04,0.338262384864327,0.45714973143562
76,2006-05,0.385225241739609,0.472185312975008
77,2006-06,0.312910643889619,0.412557002212798
78,2006-07,0.232888002082068,0.345320240960787
79,2006-08,0.190829908374496,0.303363558551315
80,2006-09,0.0507146873814848,0.134449935515808
81,2006-10,0.03406026962728,0.110087357205848
82,2006-11,-0.0640761300555115,-0.0784258989260649
83,2006-12,-0.0965009940357853,-0.0809751943493924
84,2007-01,-0.0550786148355359,-0.0222357076414531
85,2007-02,-0.131903410412692,-0.104163233028885
86,2007-03,-0.293220338983051,-0.278869690638493
87,2007-04,-0.301164477845158,-0.33711121502977
88,2007-05,-0.368511595593344,-0.380003505005107
89,2007-06,-0.421493807081196,-0.432229036279898
90,2007-07,-0.391689828659888,-0.42699546248129
91,2007-08,-0.465170033563422,-0.487273201118893
92,2007-09,-0.579314207480242,-0.6213067372838
93,2007-10,-0.579508416733771,-0.634298140131486
94,2007-11,-0.603287578376546,-0.644378452968065
95,2007-12,-0.678915636139594,-0.725648441889989
96,2008-01,-0.710800326663944,-0.72775963094104
97,2008-02,-0.69074927644978,-0.687268486616117
98,2008-03,-0.704268585131894,-0.720482703159731
99,2008-04,-0.643739352640545,-0.640930872064478
100,2008-05,-0.697925398155909,-0.704194936011698
101,2008-06,-0.705233564013841,-0.721392111631731
102,2008-07,-0.701098901098901,-0.704275665548505
103,2008-08,-0.718548339352318,-0.759642327523732
104,2008-09,-0.619585798816568,-0.628454195402649
105,2008-10,-0.653474375341966,-0.633907763233234
106,2008-11,-0.737505339598462,-0.694380078555201
107,2008-12,-0.679002192982456,-0.644042839576482
108,2009-01,-0.654782915637134,-0.632528296461017
109,2009-02,-0.620103986135182,-0.56105872428616
110,2009-03,-0.564060979565358,-0.508978030660599
111,2009-04,-0.582934847579199,-0.580612746212003
112,2009-05,-0.524453694068678,-0.528055900392225
113,2009-06,-0.403888481291269,-0.395744330393754
114,2009-07,-0.323529411764706,-0.396385683882707
115,2009-08,-0.367900715187211,-0.373472738411021
116,2009-09,-0.306112925804946,-0.410365406853636
117,2009-10,-0.263684210526316,-0.39194967832915
118,2009-11,0.00244100895036614,-0.175316955859787
119,2009-12,-0.0281810418445773,-0.107462260566498
120,2010-01,-0.129856850715746,-0.201009885401107
121,2010-02,-0.12043795620438,-0.442932636240788
122,2010-03,-0.151785714285714,-0.324950456673474
123,2010-04,-0.00179147259046941,-0.0430570923025219
124,2010-05,0.00218818380743979,-0.142504910030017
125,2010-06,-0.226461538461538,-0.28063731725868
126,2010-07,-0.292906178489702,-0.296579419495531
127,2010-08,-0.2,-0.0590802616330197
128,2010-09,-0.0914593140551446,0.298183619996098
129,2010-10,-0.0822015725518227,0.174690565952418
130,2010-11,-0.00324675324675328,0.23823967789791
131,2010-12,0.0702987697715289,0.283571502374379
132,2011-01,0.00705052878965917,0.32324676231339
133,2011-02,-0.214730290456432,0.139352423192955
134,2011-03,-0.0473684210526316,0.091153132192517
135,2011-04,-0.177315147164393,-0.179105517382869
136,2011-05,-0.0822416302765647,0.099803356321708
137,2011-06,-0.0318217979315831,0.0338290091882072
138,2011-07,-0.0432847896440129,0.124334658124104
139,2011-08,0.130615640599002,0.219016303544938
140,2011-09,-0.0532938564026647,-0.0847626362814022
141,2011-10,0.029595015576324,0.268852258065789
142,2011-11,-0.0399022801302932,-0.0188076726090248
143,2011-12,-0.0862068965517241,-0.0202499845903169
144,2012-01,-0.0105017502917153,-0.0229278300395309
145,2012-02,0.372523117569353,0.367101199983703
146,2012-03,0.19060773480663,0.561480330506955
147,2012-04,0.241710296684119,0.757944297571442
148,2012-05,0.22283901665345,0.59511544896258
149,2012-06,0.175020542317173,0.61576282288098
150,2012-07,0.197463002114165,0.569205628945729
151,2012-08,0.111846946284032,0.277978601872589
152,2012-09,-0.0258014073494918,0.123717809513036
153,2012-10,0.173978819969743,0.286013664605673
154,2012-11,0.0678541136556403,0.489242052855451
155,2012-12,0.0853548966756514,0.587693445490213
156,2013-01,0.38561320754717,0.759059362718365
157,2013-02,0.103946102021174,0.469013691124485
158,2013-03,0.204176334106729,0.322720821364415
159,2013-04,0.246661981728742,0.304100926058905
160,2013-05,0.194552529182879,0.259120169825316
161,2013-06,0.0972027972027971,0.101456894820255
162,2013-07,0.298728813559322,0.311823487357373
163,2013-08,0.107213765718067,0.125179058201142
164,2013-09,0.172552166934189,0.101713707983802
165,2013-10,-0.0199742268041238,-0.266806141452225
166,2013-11,-0.0841938046068308,-0.361158436371245
167,2013-12,-0.109271523178808,-0.460839972661111
168,2014-01,-0.14468085106383,-0.475259091007764
169,2014-02,-0.1743679163034,-0.505425698441081
170,2014-03,-0.238921001926782,-0.580710588097258
171,2014-04,-0.22435174746336,-0.594398973028106
172,2014-05,-0.129207383279044,-0.467362309694037
173,2014-06,0.0796685787125557,-0.348420354319634
174,2014-07,-0.0706905927134313,-0.515065635938438
175,2014-08,-0.0251046025104602,-0.430943199855077
176,2014-09,0.105407255304586,-0.25817101043779
177,2014-10,0.128205128205128,-0.199956312787982
178,2014-11,0.279271465741544,-0.176898660902
179,2014-12,0.421933085501859,0.0594723408541997
180,2015-01,0.193034825870647,-0.0253564200138564
181,2015-02,0.15311510031679,0.0677787342228782
182,2015-03,0.338396624472574,0.182803684424483
183,2015-04,0.28125,0.111981162099262
184,2015-05,0.248129675810474,0.13022161321327
185,2015-06,0.243801652892562,0.175182628817155
186,2015-07,0.183733177296665,0.263093260981866
187,2015-08,0.264255058246475,0.200070640349378
188,2015-09,0.226006191950464,0.0401407042135933
189,2015-10,0.0646853146853146,0.0251377679997462
190,2015-11,0.295593220338983,0.239207163706616
191,2015-12,0.18562091503268,-0.0561314433966722
192,2016-01,0.17143898365113,-0.00383689551850508
193,2016-02,0.394501864000544,0.131205391590796
194,2016-03,0.14728916019701,-0.0476870111096047
195,2016-04,0.0947060055851434,0.175545633692522
196,2016-05,0.118910814623254,-0.0602919723269232
197,2016-06,0.159224191608111,-0.0596969544194828
198,2016-07,0.149571201528019,-0.0258551798422918
199,2016-08,0.187125566614591,0.0324179342564042
200,2016-09,0.0852486782376136,0.0583717054710351
201,2016-10,0.250680780849461,0.243964398636095
202,2016-11,0.520874953712636,0.175396896473775
